budget,company,country,director,genre,gross,name,rating,runtime,score,votes,year,avgScore,avgScoreDecade
75000000,Twentieth Century Fox Film Corporation,USA,Roland Emmerich,Action,306169255,Independence Day,PG-13,145,7,461225,1996,6.2,
200000000,Twentieth Century Fox Film Corporation,USA,James Cameron,Drama,658672302,Titanic,PG-13,194,7.8,862554,1997,6.31,
70000000,DreamWorks,USA,Steven Spielberg,Drama,216540909,Saving Private Ryan,R,169,8.6,979007,1998,6.4,
115000000,Lucasfilm,USA,George Lucas,Action,474544677,Star Wars: Episode I - The Phantom Menace,PG,136,6.5,584809,1999,6.39,
123000000,Universal Pictures,USA,Ron Howard,Comedy,260044825,How the Grinch Stole Christmas,PG,104,6,155553,2000,6.35,
125000000,Warner Bros.,UK,Chris Columbus,Adventure,317575550,Harry Potter and the Sorcerer's Stone,PG,152,7.5,499582,2001,6.44,
139000000,Columbia Pictures Corporation,USA,Sam Raimi,Action,403706375,Spider-Man,PG-13,121,7.3,587005,2002,6.37,
94000000,Pixar Animation Studios,USA,Andrew Stanton,Animation,380843261,Finding Nemo,G,100,8.1,772029,2003,6.38,
150000000,DreamWorks,USA,Andrew Adamson,Animation,436471036,Shrek 2,PG,93,7.2,342666,2004,6.5,
113000000,Lucasfilm,USA,George Lucas,Action,380262555,Star Wars: Episode III - Revenge of the Sith,PG-13,140,7.6,570398,2005,6.39,6.37
225000000,Walt Disney Pictures,USA,Gore Verbinski,Action,423315812,Pirates of the Caribbean: Dead Man's Chest,PG-13,151,7.3,567704,2006,6.48,
258000000,Columbia Pictures,USA,Sam Raimi,Action,336530303,Spider-Man 3,PG-13,139,6.2,416842,2007,6.47,
185000000,Warner Bros.,USA,Christopher Nolan,Action,534858444,The Dark Knight,PG-13,152,9,1839571,2008,6.36,
237000000,Twentieth Century Fox Film Corporation,UK,James Cameron,Action,760507625,Avatar,PG-13,162,7.8,954412,2009,6.44,
200000000,Walt Disney Pictures,USA,Lee Unkrich,Animation,415004880,Toy Story 3,G,103,8.3,603472,2010,6.47,
125000000,Warner Bros.,USA,David Yates,Adventure,381011219,Harry Potter and the Deathly Hallows: Part 2,PG-13,130,8.1,608969,2011,6.46,
220000000,Marvel Studios,USA,Joss Whedon,Action,623357910,The Avengers,PG-13,143,8.1,1064633,2012,6.44,
130000000,Color Force,USA,Francis Lawrence,Action,424668047,The Hunger Games: Catching Fire,PG-13,146,7.6,535963,2013,6.58,
58800000,Warner Bros.,USA,Clint Eastwood,Action,350126372,American Sniper,R,133,7.3,362949,2014,6.56,
245000000,Lucasfilm,USA,J.J. Abrams,Action,936662225,Star Wars: The Force Awakens,PG-13,136,8.1,687192,2015,6.5,6.47
200000000,Lucasfilm,USA,Gareth Edwards,Action,532177324,Rogue One,PG-13,133,7.9,365473,2016,6.55,
