budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
4500000,Artisan Entertainment,USA,Darren Aronofsky,Drama,3609278,Requiem for a Dream,R,15/12/2000,102,8.3,Ellen Burstyn,630161,Hubert Selby Jr.,2000
103000000,DreamWorks,USA,Ridley Scott,Action,187705427,Gladiator,R,05/05/2000,155,8.5,Russell Crowe,1081122,David Franzoni,2000
7000000,Am Psycho Productions,USA,Mary Harron,Crime,15070285,American Psycho,R,14/04/2000,102,7.6,Christian Bale,391018,Bret Easton Ellis,2000
110000000,Columbia Pictures Corporation,USA,Roland Emmerich,Action,113330342,The Patriot,R,28/06/2000,165,7.2,Mel Gibson,221478,Robert Rodat,2000
9000000,Newmarket Capital Group,USA,Christopher Nolan,Mystery,25544867,Memento,R,25/05/2001,113,8.5,Guy Pearce,929360,Christopher Nolan,2000
0,Columbia Pictures Corporation,UK,Guy Ritchie,Comedy,30328156,Snatch,R,19/01/2001,104,8.3,Jason Statham,654846,Guy Ritchie,2000
30000000,Jerry Bruckheimer Films,USA,Boaz Yakin,Biography,115654751,Remember the Titans,PG,29/09/2000,113,7.8,Denzel Washington,171757,Gregory Allen Howard,2000
75000000,Touchstone Pictures,USA,M. Night Shyamalan,Drama,95011339,Unbreakable,PG-13,22/11/2000,106,7.2,Bruce Willis,280513,M. Night Shyamalan,2000
60000000,Columbia Pictures,USA,Cameron Crowe,Adventure,32534850,Almost Famous,R,22/09/2000,122,7.9,Billy Crudup,220062,Cameron Crowe,2000
90000000,Twentieth Century Fox Film Corporation,USA,Robert Zemeckis,Adventure,233632142,Cast Away,PG-13,22/12/2000,143,7.8,Tom Hanks,429806,William Broyles Jr.,2000
75000000,Twentieth Century Fox Film Corporation,USA,Bryan Singer,Action,157299717,X-Men,PG-13,14/07/2000,104,7.4,Patrick Stewart,493164,Tom DeSanto,2000
95000000,Columbia Pictures Corporation,USA,Paul Verhoeven,Action,73209340,Hollow Man,R,04/08/2000,112,5.7,Kevin Bacon,107767,Gary Scott Thompson,2000
